LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
14,ERIE,ERIE,WESTERN NEW YORK,2014-2016,2381,17.7,2323,17.2,4704,35,MIDDLE/HIGH,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2016-2018,5712,16.2,5693,16.1,11405,32.3,DISTRICT TOTAL,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2016-2018,3246,15.3,3077,14.5,6323,29.8,ELEMENTARY,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2016-2018,2455,17.4,2624,18.6,5079,36,MIDDLE/HIGH,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,221,17.3,240,18.8,461,36,DISTRICT TOTAL,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,108,15.8,125,18.3,233,34.1,ELEMENTARY,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,78,16.3,89,18.6,167,34.9,MIDDLE/HIGH,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,242,17.1,272,19.2,514,36.4,DISTRICT TOTAL,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,94,12.8,130,17.7,224,30.6,ELEMENTARY,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,101,19.5,98,18.9,199,38.3,MIDDLE/HIGH,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2014-2016,225,18.3,263,21.4,488,39.8,DISTRICT TOTAL,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2014-2016,132,18.8,137,19.5,269,38.4,ELEMENTARY,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2014-2016,53,14.1,93,24.8,146,38.9,MIDDLE/HIGH,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2016-2018,207,16.5,275,21.9,482,38.3,DISTRICT TOTAL,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2016-2018,113,15.2,139,18.7,252,34,ELEMENTARY,COUNTY,,,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2016-2018,67,15.9,113,26.8,180,42.8,MIDDLE/HIGH,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2010-2012,528,18.4,638,22.3,1166,40.7,DISTRICT TOTAL,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2010-2012,314,18.3,375,21.9,689,40.2,ELEMENTARY,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2010-2012,211,18.8,252,22.5,463,41.3,MIDDLE/HIGH,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,461,18.3,566,22.5,1027,40.8,DISTRICT TOTAL,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,283,18.2,320,20.5,603,38.7,ELEMENTARY,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,178,18.7,245,25.7,423,44.4,MIDDLE/HIGH,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2014-2016,461,17.3,563,21.2,1024,38.6,DISTRICT TOTAL,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2014-2016,279,16.7,333,20,612,36.7,ELEMENTARY,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2014-2016,178,18.6,220,23,398,41.7,MIDDLE/HIGH,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2016-2018,499,18.2,620,22.6,1119,40.7,DISTRICT TOTAL,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2016-2018,303,17.8,342,20.1,645,38,ELEMENTARY,COUNTY,,,,,,,
16,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2016-2018,183,18.1,272,26.9,455,45,MIDDLE/HIGH,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2010-2012,230,14.4,308,19.3,538,33.8,DISTRICT TOTAL,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2010-2012,159,14.4,186,16.9,345,31.3,ELEMENTARY,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2010-2012,61,13,112,23.9,173,37,MIDDLE/HIGH,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,288,15.7,357,19.5,645,35.3,DISTRICT TOTAL,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,165,14.6,199,17.6,364,32.1,ELEMENTARY,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,116,18.3,130,20.5,246,38.7,MIDDLE/HIGH,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2014-2016,301,15.7,337,17.6,638,33.3,DISTRICT TOTAL,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2014-2016,214,17.2,196,15.8,410,33,ELEMENTARY,COUNTY,,,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2014-2016,92,12.7,158,21.9,250,34.7,MIDDLE/HIGH,COUNTY,,,,,,,
